arquivo,tipo_sistema,com_regulador,sem_aterramento,condicao_aterramento,tipo_falta,local_falta,m1,t_falta,800_I_pico_A,800_I_pico_B,800_I_pico_C,800_I_pico_max,800_V_min,800_V_max,818_I_pico_A,818_I_pico_B,818_I_pico_C,818_I_pico_max,818_V_min,818_V_max,820_I_pico_A,820_I_pico_B,820_I_pico_C,820_I_pico_max,820_V_min,820_V_max,822_I_pico_A,822_I_pico_B,822_I_pico_C,822_I_pico_max,822_V_min,822_V_max,800_I0,800_I1,800_I2,818_I0,818_I1,818_I2,820_I0,820_I1,820_I2,822_I0,822_I1,822_I2
Qualificacao__R_818_1_-_Falta_AB_py,T2F,False,False,COM Aterramento,AB,Barra 818.1,0.5,0.25,113.29436920090478,53.01230555044096,56.332996728319856,113.29436920090478,25280.181295287955,26084.17833785999,163.86432266863963,162.640069683141,20.712620454526487,163.86432266863963,10833.322852562054,14841.156972179842,9.473694079037971,9.388383313142722,9.155566039656323,9.473694079037971,10417.736229523834,14433.750953216702,9.469885699513014,9.384833018341523,9.151975768469583,9.469885699513014,10358.64143790867,14375.878090828717,1.5579795235713376,56.81674954130959,44.33157057604898,3.813121888912319e-13,95.46968630515818,74.95328126922911,1.420653652514262e-13,7.945625536187353,1.6849847262113844,9.53752732594522e-14,7.939604973897311,1.6836976398394627
Qualificacao__R_818_1_-_Falta_ABC_py,T2F,False,False,COM Aterramento,ABC,Barra 818.1,0.5,0.25,113.26607346733852,87.48065876267731,97.31821108857453,113.26607346733852,25530.859087893707,25662.702795584417,192.82167146472545,162.98037805828966,150.17909310573637,192.82167146472545,9676.292308376329,10821.51981067647,9.449056646486548,9.388391858228337,9.155396942710526,9.449056646486548,9490.693607208163,10406.387133161625,9.4454831041964,9.384841560087745,9.151915766992946,9.4454831041964,9464.272043447792,10347.356402750534,1.5558443707929317,93.58687936648607,7.701257028133074,1.224392027770825e-12,160.04795443449413,10.641367827581414,1.4374259104649682e-13,6.577785755010386,0.3761094238098725,1.2745592422957945e-13,6.572804067239989,0.3758358087863881
Qualificacao__R_818_1_-_Falta_AC_py,T2F,False,False,COM Aterramento,AC,Barra 818.1,0.5,0.25,55.37498870141181,44.41358744249649,94.45912073869322,94.45912073869322,25396.100056696087,26111.053065593394,147.46093912538097,21.27690610029912,136.70096328318382,147.46093912538097,9861.659247742853,14273.21831179962,9.449037826187679,9.388438904047888,9.155439290848474,9.449037826187679,9573.61400200303,13960.36342973824,9.445464291324035,9.38488858826757,9.151958098937442,9.445464291324035,9532.875710526994,13915.813212881281,0.7631715967575163,51.36502072688083,38.59133284892466,8.428080561703687e-14,87.7054648609853,67.33538992082197,9.126750572165346e-14,7.748871449993145,1.7073773672553292,5.5503058349065254e-14,7.743002145917833,1.7060853289960305
Qualificacao__R_818_1_-_Falta_BC_py,T2F,False,False,COM Aterramento,BC,Barra 818.1,0.5,0.25,47.96579201350302,88.68563057652021,45.791614625046,88.68563057652021,25384.74840038177,26090.36886299446,24.369161630722722,133.14134470765495,135.10038936820675,135.10038936820675,9801.945845834607,15266.653019372838,10.73257927127142,9.388422177824316,9.15538403108833,10.73257927127142,9595.191345998168,14680.973786475786,10.724021466691363,9.384871868202282,9.151902860354772,10.724021466691363,9565.830514262087,14597.69475687575,0.722328024252286,51.44440942036035,37.91450245466215,2.813605685961325e-13,87.87836844232538,66.45736620042811,1.4196198381293696e-14,7.809764268500939,2.0753313897654215,5.5410795041533125e-14,7.803852159529542,2.0737719283834952
Qualificacao__R_818_2_-_Falta_AB_py,T2F,False,False,COM Aterramento,AB,Barra 818.2,0.5,0.25,128.27816627212616,97.92227212606049,65.57454960070883,128.27816627212616,25295.371478990033,25975.710163859534,21.44032562474677,21.275981317031075,20.70569633166165,21.44032562474677,8083.838337174786,12144.350533374758,9.44908731773903,9.388356782808058,9.155369843967902,9.44908731773903,7966.4265926161515,11779.283077565404,9.445513763668336,9.384806497746098,9.151888678572028,9.445513763668336,7949.719830490276,11727.403364185815,1.8216733832548526,90.04209512024207,33.31468849872006,7.878701081754327e-13,15.246819205565743,3.3995225937587104,1.2710066279746093e-13,6.730594953718133,1.4904476561677944,9.618835143867722e-14,6.725497668954117,1.4893216300220813
Qualificacao__R_818_2_-_Falta_ABC_py,T2F,False,False,COM Aterramento,ABC,Barra 818.2,0.5,0.25,168.59879645425428,121.77000282948843,135.86714551965372,168.59879645425428,25056.642039364466,25324.70534388849,21.44012726050141,21.275932925604106,20.70558932032168,21.44012726050141,7044.708152048686,8201.438444742465,9.448999819609263,9.388335449944815,9.155322541961471,9.448999819609263,6910.8082489236585,7886.826153767293,9.445426298300056,9.384785172731545,9.151841394469546,9.445426298300056,6891.747374109505,7842.08685757157,2.256208784232536,133.7568504341321,13.921852812597383,5.928293590924597e-13,11.127549147891544,0.8918095598279177,1.2463242337641402e-13,4.911145532374867,0.3840945621195477,1.4899301456970712e-13,4.907426290993159,0.38381241515492176
Qualificacao__R_818_2_-_Falta_AC_py,T2F,False,False,COM Aterramento,AC,Barra 818.2,0.5,0.25,72.03081364645043,63.939175874553,128.69967158715292,128.69967158715292,24982.30133765506,26043.49012056634,21.44004161260855,21.276144488809365,20.70578107180049,21.44004161260855,7295.727470230593,13887.303939975822,9.448961856367049,9.388428904647046,9.155407328682713,9.448961856367049,7089.272810608427,13560.637965174854,9.445388349985821,9.384878592468539,9.151926148837417,9.445388349985821,7060.206508250068,13514.124152131562,1.029710775784662,69.93738233975006,57.23643175186001,8.831558793521971e-14,15.39899371221936,5.696302266946012,9.674906955893878e-14,6.794009503021511,2.5211787442232825,4.74030418403622e-14,6.788863635641157,2.519270517228198
Qualificacao__R_818_2_-_Falta_BC_py,T2F,False,False,COM Aterramento,BC,Barra 818.2,0.5,0.25,128.8969883331088,97.85938319117517,65.78927342795453,128.8969883331088,25289.146195927922,25975.296060655284,21.440326981628516,21.275982430628446,20.705695068317656,21.440326981628516,8075.408609437454,12167.510884277171,9.449087909764554,9.388357268030203,9.155369286808778,9.449087909764554,7958.082350259087,11801.289584624938,9.44551435549365,9.384806982798338,9.151888121591686,9.44551435549365,7941.387027600716,11749.244298681035,1.8293473051363696,90.18308157569783,33.55273897486115,5.752501846514237e-13,15.279664534956652,3.4339920260403103,1.7507512683524472e-13,6.745066542850374,1.5055359724815152,1.0747121995300695e-13,6.739958340397671,1.5043986859818799
Qualificacao__R_818_2_Meio_-_Falta_AB__m10p01_py,T2F,False,False,COM Aterramento,AB,Barra 818.2,0.01,0.25,15.005538014219315,12.911527200531852,13.00482601290716,15.005538014219315,26052.373849188174,26069.89045815824,23.831987606360585,21.276334699862357,20.705986485299746,23.831987606360585,14129.991106260986,14666.985675175505,10.496152707999489,9.388497981338817,9.155491950741823,10.496152707999489,13805.441600649174,14104.398717604245,10.487682595627913,9.384938374375361,9.152006919625608,10.487682595627913,13744.696342494559,14024.41674818765,0.21555464508389066,12.965356171258735,0.5000303730327532,4.7899458423133207e-14,21.011467578569025,0.34981512590306596,3.3755973574849027e-15,9.27386676400784,0.14037449093886978,1.4482725902850536e-14,9.266828101837762,0.14027922218707484
Qualificacao__R_818_2_Meio_-_Falta_AB__m10p50_py,T2F,False,False,COM Aterramento,AB,Barra 818.2,0.5,0.25,15.0053273523478,12.911463250876016,13.004667537013445,15.0053273523478,26052.373620199105,26069.89054085812,23.83163587467584,21.276190769717154,20.70592645183919,23.83163587467584,14129.994450135262,14666.990282938174,10.496033653054127,9.38844927448209,9.155471586725284,10.496033653054127,13805.382979054546,14104.294509999196,10.487586147536112,9.384898954906868,9.151990382721033,10.487586147536112,13744.621093712878,14024.281824417285,0.21555668242221238,12.965216927922881,0.49996664015149866,4.1739136114380216e-14,21.01124241361465,0.34971050489674266,3.0315391380987954e-14,9.273790546714466,0.1403397569354098,2.1620451242961953e-14,9.266766380632406,0.14025120197399896
