tempo_s,V_A,V_B,V_C,I_A,I_B,I_C
0.28785,16544.203419323505,-9419.153047127269,-7125.050373150107,124.52279064891498,-179.1422239187102,54.61943326979681
0.2879,16577.22426523787,-9208.651993462,-7368.572272740358,126.96039005539772,-178.21410449806677,51.253714442670635
0.28795000000000004,16604.449768109793,-8995.00819997988,-7609.441569104539,129.35288950750427,-177.22264583799347,47.8697563304907
0.28800000000000003,16625.725240157415,-8778.139779481293,-7847.5854616606,131.69943594083455,-176.1682657348077,44.468829793974905
0.28805000000000003,16641.063432533625,-8558.07852892631,-8082.9849046013505,133.9991640920888,-175.05125074223437,41.052086650147274
0.2881,16650.599078259296,-8335.088812468912,-8315.510266793572,136.25131716415265,-173.87205865734592,37.62074149319493
0.28815,16654.076646082656,-8109.064701537577,-8545.01194555704,138.45504451842052,-172.63110592523142,34.176061406812686
0.2882,16651.73776594463,-7880.156732856396,-8771.581034108645,140.60955937012682,-171.32878019328854,30.719220823163464
0.28825,16643.48043374072,-7648.50999249167,-8994.970442277496,142.71416401834674,-169.9656216085941,27.251457590249096
0.2883,16629.212707676732,-7414.069097566969,-9215.143611145902,144.7680206591974,-168.54205360885567,23.77403294965987
0.28835,16609.171188474746,-7177.055581489008,-9432.115608029193,146.77044583147276,-167.05859767648406,20.288151845012873
0.2884,16583.144415351,-6937.453085772647,-9645.691330628773,148.72076352864,-165.51581523085054,16.795051702212305
0.28845000000000004,16551.201862782546,-6695.40221353055,-9855.799650309013,150.6181871320182,-163.91418818969314,13.296001057676705
0.28850000000000003,16513.50095917232,-6450.986441237396,-10062.514518998209,152.46212656204128,-162.25435206774938,9.792225505709698
0.28855000000000003,16469.78075712985,-6204.227166206544,-10265.55359199238,154.25191061767467,-160.53686186493525,6.284951247262241
0.2886,16420.309147884433,-5955.335145310226,-10464.974003648782,155.98684670663138,-158.7623117127184,2.7754650060887633
0.28865,16365.000459521922,-5704.283950667759,-10660.716509933789,157.66640034423574,-156.9313946710494,-0.7350056731846557
0.2887,16303.79651727464,-5451.171735317363,-10852.624783041561,159.28992548192278,-155.0446820737822,-4.24524340813895
0.28875,16236.90779005367,-5196.238615162978,-11040.66917597928,160.8568379035368,-153.10289684997574,-7.7539410535593
0.2888,16164.178576464998,-4939.320920035491,-11224.857657522054,162.3666250165707,-151.10673539470474,-11.259889621864309
0.28885,16085.704686575382,-4680.722435261724,-11404.982252409693,163.81870725762744,-149.05684155832776,-14.761865699297982
0.2889,16001.588536357987,-4420.500122207446,-11581.088415249802,165.2125889155235,-146.95403177103927,-18.25855714448251
0.28895000000000004,15911.675630148597,-4158.584890049652,-11753.090741200913,166.547773259789,-144.7989938435127,-21.7487794162748
0.28900000000000003,15816.213327420459,-3895.306763408269,-11920.906565116476,167.82378248157966,-142.5924888939594,-25.231293587618655
0.28905000000000003,15715.07691869377,-3630.6231346323357,-12084.453785167707,169.04016933378387,-140.3353662146699,-28.70480311911227
0.2891,15608.339918504853,-3364.559327811304,-12243.780591801407,170.19648209916264,-138.02834033416613,-32.16814176499483
0.28915,15496.137761114305,-3097.4443839477917,-12398.693378275519,171.29234729452966,-135.6722902518086,-35.620057042719594
0.2892,15378.32801970736,-2829.1178674231305,-12549.210153394037,172.32733900126354,-133.26805366080924,-39.05928534045283
0.28925,15255.117413993732,-2559.8105236519687,-12695.306891451939,173.30109222520375,-130.8164279015243,-42.48466432367777
0.2893,15126.509842908847,-2289.6453545700147,-12836.86448944903,174.21330914392507,-128.3183629107617,-45.894946233161846
0.28935,14992.416919566622,-2018.5933126993505,-12973.82360797707,175.06358977884446,-125.77468856419219,-49.28890121465081
0.2894,14853.14351630056,-1746.8679890864942,-13106.27552832305,175.85168185903945,-123.18631682287494,-52.665365036162896
0.28945000000000004,14708.490793757184,-1474.524562606729,-13233.966232258337,176.577324404177,-120.55420911888652,-56.023115285288995
0.28950000000000004,14558.61355028552,-1201.620216779266,-13356.993334612494,177.24017870860882,-117.87923270369738,-59.36094600491004
0.28955000000000003,14403.658503762126,-928.3444207394474,-13475.314084126954,177.84009579986068,-115.16239818313898,-62.677697616720145
0.2896,14243.458964887119,-654.6715784428889,-13588.787387546115,178.37683311973157,-112.40464635023378,-65.97218676949622
0.28965,14078.275468798663,-380.8371648526736,-13697.438305045169,178.850152420345,-109.60693439121617,-69.24321802912732
0.2897,13908.11244206083,-106.81646672216627,-13801.295976434718,179.25997247918946,-106.77031652454933,-72.48965595463852
0.28975,13732.898691966744,167.2433855430325,-13900.142078602219,179.6060842798145,-103.895730926001,-75.71035335381205
0.2898,13552.940950528491,441.181183506933,-13994.122135124004,179.8883659179451,-100.98424198748145,-78.904123930462
0.28985,13368.075803264033,715.0490418860322,-14083.124846234334,180.10676797666198,-98.03689375432202,-82.0698742223386
0.2899,13178.471799500214,988.6207902864123,-14167.092590866181,180.26115331497013,-95.0546721182397,-85.20648119672886
0.28995000000000004,12984.247804864732,1261.7879606669687,-14246.035766606215,180.35149740320182,-92.03871782690709,-88.31277957629347
0.29000000000000004,12785.318024020067,1534.642736586422,-14319.96076167552,180.37777380610945,-88.99004778556628,-91.38772602054185
0.29005000000000003,12581.917549235983,1806.8089201045423,-14388.726470403737,180.33995039856387,-85.90974021867574,-94.43021017988679
0.2901,12374.031706514357,2078.398269778018,-14452.429977349288,180.23806125709967,-82.7989524220897,-97.43910883500871
0.29015,12161.697932704119,2349.294988846631,-14510.992922601094,180.07212685366338,-79.65870524235234,-100.41342161130969
0.2902,11945.143116382169,2619.245064808731,-14564.388182234323,179.84222412296089,-76.49017122256794,-103.35205290039167
0.29025,11724.235906056712,2888.354263775494,-14612.59017086826,179.54841613352087,-73.29447887614315,-106.25393725737628
0.2903,11499.23143318201,3156.4369774137626,-14655.668411624141,179.19080932716193,-70.07270477365431,-109.11810455350643
0.29035,11270.148106896753,3423.3076243998466,-14693.455732316865,178.7695620612275,-66.82607337652202,-111.94348868470426
0.2904,11036.979559645812,3689.0864244403483,-14726.065985098017,178.28476710183642,-63.555682289767454,-114.72908481206765
0.29045000000000004,10800.000316634854,3953.4636657553774,-14753.463983393292,177.73664210382395,-60.262696879134744,-117.47394522468804
0.29050000000000004,10559.111999883022,4216.462313986652,-14775.574314863563,177.12538809664042,-56.948334299797715,-120.17705379684148
0.29055000000000003,10314.453298915325,4477.98674040778,-14792.440040307507,176.45115807694654,-53.61370252021409,-122.83745555673146
0.2906,10066.238602561663,4737.881376290636,-14804.119979826834,175.71427307691246,-50.26004179944514,-125.45423127746614
0.29065,9814.305966825314,4996.121686993461,-14810.427654783109,174.91495575383263,-46.88852836155284,-128.02642739227855
0.2907,9558.981442302687,5252.575093149038,-14811.55653640556,174.05345584719913,-43.500330027580326,-130.55312581961763
0.29075,9300.26271188008,5507.152553016319,-14807.415265839334,173.13016325636264,-40.09671072436724,-133.03345253199433
