tempo_s,V_A,V_B,V_C,I_A,I_B,I_C
0.44875000000000004,-1102.0576597629938,-27734.792396031004,28836.85005579393,78.43660262761229,16.721888317596783,-95.1584909452082
0.44880000000000003,-477.9351902835215,-28045.185213292054,28523.120403575565,77.18752030320074,18.67693174027315,-95.86445204347305
0.44885,146.3489543243105,-28345.7169997261,28199.368045401712,75.91101345508656,20.6253394842065,-96.53635293929219
0.4489,770.5884416582808,-28636.073106178283,27865.484664519863,74.60753562417928,22.566419164516066,-97.17395478869436
0.44895,1394.5473450223349,-28916.360711958623,27521.81336693627,73.27754994452577,24.49948123141979,-97.77703117594461
0.449,2018.017442610146,-29186.26772753657,27168.250284926344,71.92152890006174,26.423838805665284,-98.34536770572619
0.44905,2640.7635642411014,-29445.912546047577,26805.1489818064,70.53995436937558,28.33880821006743,-98.87876257944207
0.4491,3262.5788724994536,-29694.987120209167,26432.40824770972,69.13331711439494,30.243709041965833,-99.37702615635979
0.44915000000000005,3883.2272589020904,-29933.62019140188,26050.39293249973,67.7021169939209,32.1378645331788,-99.83998152709886
0.44920000000000004,4502.503558957387,-30161.50817163088,25659.004612673412,66.24686246080591,34.0206016362609,-100.26746409706594
0.44925000000000004,5120.1730840173,-30378.790654427354,25258.617570409933,64.76807056096803,35.89125151668378,-100.65932207765084
0.44930000000000003,5736.029694821125,-30585.168019391393,24849.138324570213,63.266266726658,37.749149434649354,-101.01541616130642
0.44935,6349.842727931012,-30780.791142762944,24430.948414831866,61.74198452353212,39.59363538430509,-101.33561990783635
0.4494,6961.404972129836,-30965.36478920284,24003.959817072904,60.19576550636535,41.42405396178479,-101.61981946814916
0.44945,7570.488428224726,-31139.05031401977,23568.56188579495,58.6281590957487,43.23975486070845,-101.86791395645619
0.4495,8176.887957639059,-31301.55815876174,23124.670201122648,57.03972217395597,45.0400929604991,-102.07981513445412
0.44955,8780.376069748283,-31453.059198497172,22672.68312874881,55.431019179271445,46.8244286208305,-102.25544780010104
0.4496,9380.750776961457,-31593.270212300173,22212.51943533864,53.8026216373304,48.59212784299326,-102.3947494803228
0.44965,9977.786736007896,-31722.37168988684,21744.58495387883,52.15510810266114,50.342562634629985,-102.4976707372902
0.44970000000000004,10571.282693553561,-31840.086404232134,21268.803710678494,50.48906397008538,52.07511099040618,-102.56417496049062
0.44975000000000004,11161.018414992683,-31946.604966949428,20785.586551956694,48.80508113129322,53.78915742846839,-102.59423855976075
0.44980000000000003,11746.792502474282,-32041.65617472502,20294.863672250718,47.10375791809537,55.48409289458686,-102.5878508126814
0.44985,12328.389207703254,-32125.440229890453,19797.051022187137,45.38569882166782,57.15931521324889,-102.54501403491594
0.4499,12905.60980921822,-32197.693122935983,19292.083313717696,43.651514209516,58.81422918837487,-102.46574339788995
0.44995,13478.240578601411,-32258.62344257609,18780.38286397464,41.90182028473634,60.448246825089214,-102.3500671098247
0.45,14046.087272035165,-32307.97532045187,18261.888048416688,40.13723867539723,62.06078756181019,-102.19802623720656
0.45005,14608.939037440046,-32345.96552567639,17737.026488236315,38.358396315149406,63.65127850310159,-102.00967481825012
0.4501,15166.604063014982,-32372.345985211567,17205.74192219655,36.56592527161279,65.21915449532246,-101.78507976693439
0.45015,15718.87750409062,-32387.342265281233,16668.464761190564,34.76046233170488,66.76385854771276,-101.52432087941683
0.45020000000000004,16265.56844294951,-32390.713847812425,16125.145404862786,32.94264902308708,68.28484178253211,-101.22749080561837
0.45025000000000004,16806.478150714374,-32382.69467164586,15576.216520931495,31.11313118637423,69.78156382026009,-100.8946950066335
0.45030000000000003,17341.41894296986,-32363.052869938918,15021.633926969049,29.27255882388037,71.25349289700297,-100.52605172088259
0.45035000000000003,17870.195658410696,-32332.029444653173,14461.83378624241,27.421585915358534,72.70010601292972,-100.1216919282875
0.4504,18392.626180613002,-32289.402170934136,13896.775990321099,25.56087008351308,74.12088921611029,-99.68175929962256
0.45045,18908.518992972884,-32235.418752494308,13326.899759521351,23.691072412319706,75.51533771163759,-99.20641012395649
0.4505,19417.69604418831,-32169.866347030784,12752.170302842429,21.812857295410225,76.88295602789587,-98.6958133233053
0.45055,19919.972498293522,-32092.99982335317,12173.027325059596,19.92689196347778,78.22325830201305,-98.15015026549007
0.4506,20415.172345926134,-32004.615412433785,11589.443066507589,18.033846577804052,79.53576829304356,-97.56961487084685
0.45065,20903.118266760295,-31904.974882910992,11001.856616150611,16.134393671732596,80.82001968360218,-96.95441335533397
0.45070000000000005,21383.63797012332,-31793.88429350692,10410.24632338357,14.229208129601547,82.0755562072708,-96.30476433687159
0.45075000000000004,21856.559251809613,-31671.611139312197,9815.051887502514,12.318966862262933,83.30193173258384,-95.62089859484597
0.45080000000000003,22321.71623970834,-31537.972331465386,9216.256091756952,10.40434856511301,84.49871058193118,-94.90305914704348
0.45085000000000003,22778.941140597653,-31393.240381096268,8614.299240498542,8.48603346582593,85.66546751620331,-94.15150098202858
0.4509,23228.07367944269,-31237.243062761867,8009.1693833191075,6.564703203528257,86.8017879930768,-93.36649119660439
0.45095,23668.953206385973,-31070.25821164823,7401.30500526221,4.641040312769553,87.90726830440045,-92.5483086171692
